시장명,시장유형,소재지도로명주소,소재지지번주소,시장개설주기,위도,경도,점포수,취급품목,사용가능상품권,홈페이지주소,공중화장실보유여부,주차장보유여부,개설연도,전화번호,데이터기준일자,제공기관코드,제공기관명
새영주시장,상설장,부산광역시 중구 초량중로6번길 일원,부산광역시 중구 영주동 20-16,매일,35.11270202,129.0363088,58,농산물+축산물+의류,,,Y,Y,1950,051-463-8407,2024-11-04,B553077,소상공인시장진흥공단
해운대시장,상설장,부산광역시 해운대구 구남로41번길 22-1,부산광역시 해운대구 중1동 1394-193,매일,35.16140447,129.1623121,108,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1910,051-746-3001,2024-11-04,B553077,소상공인시장진흥공단
반송골목시장,상설장,부산광역시 해운대구 아랫반송로 39번길 18-1,부산광역시 해운대구 반송동 250-371,매일,35.22429212,129.1503295,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1974,,2024-11-04,B553077,소상공인시장진흥공단
반송큰시장(반송2동시장),상설장,부산광역시 해운대구 윗반송로51번길 86,부산광역시 해운대구 반송2동 40-762,매일,35.23111721,129.1562096,171,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,051-544-9005,2024-11-04,B553077,소상공인시장진흥공단
재송한마음시장,상설장,부산광역시 해운대구 재반로 81-20,부산광역시 해운대구 재송동 1089-18,매일,35.18607852,129.1246024,67,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2013,,2024-11-04,B553077,소상공인시장진흥공단
반여시장,상설장,부산광역시 해운대구 재반로226번길 48,부산광역시 해운대구 반여2동 1291 918,매일,35.19770132,129.1334243,152,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1979,,2024-11-04,B553077,소상공인시장진흥공단
반여3동골목시장,상설장,부산광역시 해운대구 재반로256번길 8,부산광역시 해운대구 반여3동 1607-2,매일,35.19994225,129.1320557,55,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1975,,2024-11-04,B553077,소상공인시장진흥공단
재송시장,상설장,부산광역시 해운대구 재송1로60번길 16 서해재송아파트,부산광역시 해운대구 재송1동 1080-5,매일,35.18658147,129.1236715,68,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1982,,2024-11-04,B553077,소상공인시장진흥공단
좌동재래시장,상설장,부산광역시 해운대구 좌동로91번길 20,부산광역시 해운대구 좌동 892,매일,35.1730639,129.1744627,75,농산물+가공식품+의류+가정용품+음식점,,,Y,Y,2005,051-703-3337,2024-11-04,B553077,소상공인시장진흥공단
우동종합상가시장,상설장,부산광역시 해운대구 해운대로383번길 37-10,부산광역시 해운대구 우2동 1092 16,매일,35.17067916,129.1388637,51,농산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,,2024-11-04,B553077,소상공인시장진흥공단
반여2동상가시장,상설장,부산광역시 해운대구 해운대로61번길 95-83,부산광역시 해운대구 반여2동 1291-1425,매일,35.19602122,129.129044,75,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,2010,,2024-11-04,B553077,소상공인시장진흥공단
강남시장,상설장,서울특별시 강남구 압구정로 2길 46,서울특별시 강남구 신사동 510-11,매일,37.51876501,127.020678,72,축산물+수산물+음식점,,,Y,Y,1974,02-542-1754,2024-11-04,B553077,소상공인시장진흥공단
신사상가,상설장,서울특별시 강남구 압구정로29길 72-1,서울특별시 강남구 압구정동 454,매일,37.53228744,127.028409,84,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,,Y,N,1976,02-553-1898,2024-11-04,B553077,소상공인시장진흥공단
청담삼익시장,상설장,서울특별시 강남구 학동로 101길 26,서울특별시 강남구 청담동 134-20,매일,37.52244687,127.0576251,176,농산물+축산물+가공식품+의류+신발+음식점,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
고분다리전통시장,상설장,서울특별시 강동구 구천면로34길 13,서울특별시 강동구 천호동 393-32,매일,37.54248857,127.1319259,104,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2011,02-6227-0045,2024-11-04,B553077,소상공인시장진흥공단
암사종합시장,상설장,서울특별시 강동구 상암로 11길 17,서울특별시 강동구 암사동 501-18,매일,37.55054704,127.1287149,119,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,2006,02-442-1040,2024-11-04,B553077,소상공인시장진흥공단
명일전통시장,상설장,서울특별시 강동구 양재대로138길 20,서울특별시 강동구 명일동 333-2 일대,매일,37.54952811,127.1449523,51,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,2011,02-475-7095,2024-11-04,B553077,소상공인시장진흥공단
둔촌역전통시장,상설장,서울특별시 강동구 양재대로91길20,서울특별시 강동구 성내동 416-12,매일,37.52806012,127.1349664,87,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+화분,,https://dunchonmarket.modoo.at/,Y,Y,2010,02-6052-5657,2024-11-04,B553077,소상공인시장진흥공단
성내전통시장,상설장,서울특별시 강동구 천호대로162길 61,서울특별시 강동구 성내동 144-12,매일,37.53416778,127.1278835,81,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+꽃 미용실,,,N,Y,2011,02-475-8272,2024-11-04,B553077,소상공인시장진흥공단
길동복조리시장,상설장,서울특별시 강동구 천호대로193길 37,서울특별시 강동구 길동 400,매일,37.53757331,127.1437637,164,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,Y,2011,070-4896-2455,2024-11-04,B553077,소상공인시장진흥공단
수유중앙시장,상설장,서울특별시 강북구 노해로 17길 21,서울특별시 강북구 수유동 32-2,매일,37.64033603,127.0211761,41,농산물,,,Y,Y,1971,,2024-11-04,B553077,소상공인시장진흥공단
우이시장,상설장,서울특별시 강북구 노해로 23길 68,서울특별시 강북구 수유동 270-185,매일,37.64603946,127.020022,12,농산물,,,Y,N,1962,,2024-11-04,B553077,소상공인시장진흥공단
수유프라자,상설장,서울특별시 강북구 도봉로 261,서울특별시 강북구 수유동 63,매일,37.63169515,127.0234508,67,가정용품,,,Y,Y,1998,,2024-11-04,B553077,소상공인시장진흥공단
수유시장,상설장,서울특별시 강북구 도봉로67길 18,서울특별시 강북구 수유1동 54-5,매일,37.63073125,127.0226688,66,의류,,,Y,Y,1966,,2024-11-04,B553077,소상공인시장진흥공단
수유전통시장(수유골목시장),상설장,서울특별시 강북구 도봉로67길 18 일대,서울특별시 강북구 수유동 54-5 일대,매일,37.63073125,127.0226688,82,농산물,,,Y,Y,2005,02-989-4730,2024-11-04,B553077,소상공인시장진흥공단
수유재래시장,상설장,서울특별시 강북구 도봉로71길 26 일대,서울특별시 강북구 수유1동 50-77 일대,매일,37.63153319,127.0223292,106,농산물,,,Y,Y,2005,02-987-6380,2024-11-04,B553077,소상공인시장진흥공단
장미원골목시장,상설장,서울특별시 강북구 삼양로 469 일대,서울특별시 강북구 수유동 319-5 일대,매일,37.64512114,127.015478,98,농산물,,,Y,N,2015,,2024-11-04,B553077,소상공인시장진흥공단
백년시장(강북종합전통시장),상설장,서울특별시 강북구 한천로144길 12 일대,서울특별시 강북구 수유동 177-7호 일대,매일,37.64155145,127.0257426,87,농산물,,,N,N,,02-9081-7282,2024-11-04,B553077,소상공인시장진흥공단
까치산시장,상설장,서울특별시 강서구 강서로 12길 14,서울특별시 강서구 화곡동 342-16,매일,37.53152613,126.8478644,140,농산물+축산물+수산물+의류+신발+가정용품+음식점,,,Y,Y,1970,02-606-4500,2024-11-04,B553077,소상공인시장진흥공단
신월중앙시장,상설장,서울특별시 강서구 강서로 5나길 109,서울특별시 강서구 화곡동 929-1,매일,37.52796836,126.8419096,22,수산물+가공식품+음식점,,,Y,Y,1978,,2024-11-04,B553077,소상공인시장진흥공단
화곡본동시장,상설장,서울특별시 강서구 까치산로 35,서울특별시 강서구 화곡본동 98-45,매일,37.54288286,126.8441299,50,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1968,02-2698-0779,2024-11-04,B553077,소상공인시장진흥공단
남부골목시장,상설장,서울특별시 강서구 등촌로5길 62-4,서울특별시 강서구 화곡동 801-9,매일,37.53318098,126.8600236,149,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://www.instagram.com/namboo_market/,Y,Y,1970,02-646-5656,2024-11-04,B553077,소상공인시장진흥공단
남부화곡시장,상설장,서울특별시 강서구 등촌로5길 80번지,서울특별시 강서구 화곡동 830-1,매일,37.53307159,126.858949,20,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,,2024-11-04,B553077,소상공인시장진흥공단
방신전통시장,상설장,서울특별시 강서구 방화동로16길32,서울특별시 강서구 방화동 579-1,매일,37.5715068,126.8126466,91,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,www.bangsinsijang.com,Y,Y,1980,02-666-4080,2024-11-04,B553077,소상공인시장진흥공단
화곡중앙시장,상설장,서울특별시 강서구 월정로 30길 66,서울특별시 강서구 화곡동 362-144 (삭 제),매일,37.53488481,126.8395077,56,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,1979,02-2065-7212,2024-11-04,B553077,소상공인시장진흥공단
대원종합시장,상설장,서울특별시 강서구 화곡로21길 78,서울특별시 강서구 화곡3동 1023,매일,37.5444853,126.8364772,30,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,,2024-11-04,B553077,소상공인시장진흥공단
등마루시장,상설장,서울특별시 강서구 화곡로68길 120,서울특별시 강서구 등촌동 637-10,매일,37.55666129,126.8602626,60,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
봉천중앙시장,상설장,서울특별시 관악구 관악로 211,서울특별시 관악구 봉천동 32-2,매일,37.48419585,126.9543218,24,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,Y,1969,,2024-11-04,B553077,소상공인시장진흥공단
관악신사시장,상설장,서울특별시 관악구 관천로19길 89,서울특별시 관악구 신림동 494-34,매일,37.48678805,126.9170747,100,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,http://kwanaksinsa.alltheway.kr/,Y,Y,1977,02-855-1994,2024-11-04,B553077,소상공인시장진흥공단
우림시장,상설장,서울특별시 관악구 난곡로 26길 19,서울특별시 관악구 신림동 638-50,매일,37.47042842,126.9210041,17,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1977,02-853-1866,2024-11-04,B553077,소상공인시장진흥공단
인헌시장,상설장,서울특별시 관악구 남부순환로246나길 14,서울특별시 관악구 봉천동 1636-4,매일,37.47486452,126.9647731,52,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,02-877-2665,2024-11-04,B553077,소상공인시장진흥공단
원당종합시장,상설장,서울특별시 관악구 남부순환로248길 35,서울특별시 관악구 인헌동 1638-20,매일,37.47441435,126.9659151,17,농산물+축산물+수산물+가공식품+의류+신발+음식점,,,Y,N,1980,02-888-0930,2024-11-04,B553077,소상공인시장진흥공단
신림현대종합상가,상설장,서울특별시 관악구 신림로 29길 3-20,서울특별시 관악구 신림동 1694,매일,37.47462652,126.9338049,99,농산물+가공식품+의류+음식점,,,Y,Y,1993,02-875-4272,2024-11-04,B553077,소상공인시장진흥공단
관악종합시장,상설장,서울특별시 관악구 신원로 23,서울특별시 관악구 신림동 1602-1,매일,37.4815694,126.9280588,54,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,N,1969,,2024-11-04,B553077,소상공인시장진흥공단
신원시장,상설장,서울특별시 관악구 신원로3길 20-3,서울특별시 관악구 신원동 1599-3,매일,37.48206454,126.9273799,118,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,http://www.sinwonsijang.com/,Y,Y,1980,02-854-5453,2024-11-04,B553077,소상공인시장진흥공단
봉천현대시장,상설장,서울특별시 관악구 양녕로 49,서울특별시 관악구 봉천동 503-2,매일,37.48643059,126.9465863,26,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1972,02-882-0492,2024-11-04,B553077,소상공인시장진흥공단
봉일시장,상설장,서울특별시 관악구 은천로 28,서울특별시 관악구 봉천동 951-25,매일,37.48592711,126.9383777,27,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1971,,2024-11-04,B553077,소상공인시장진흥공단
신림중앙시장,상설장,서울특별시 관악구 조원로16길 27,서울특별시 관악구 조원동 541,매일,37.48314387,126.9114142,49,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,02-853-7471,2024-11-04,B553077,소상공인시장진흥공단
조원동펭귄시장,상설장,서울특별시 관악구 조원로16길 27,서울특별시 관악구 신림동 541의 6,매일,37.48314523,126.9114212,65,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,1978,02-839-3004,2024-11-04,B553077,소상공인시장진흥공단
봉천제일종합시장,상설장,서울특별시 관악구 청룡2길 29,서울특별시 관악구 청룡동 921-1,매일,37.48125387,126.944419,31,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1976,,2024-11-04,B553077,소상공인시장진흥공단
중곡제일시장(이오상사),상설장,서울특별시 광진구 긴고랑로11길 11,서울특별시 광진구 중곡동 229-5,매일,37.56391495,127.0813016,138,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1971,02-466-5003,2024-11-04,B553077,소상공인시장진흥공단
광성시장,상설장,서울특별시 광진구 능동로 47길 30,서울특별시 광진구 중곡동 229-15,매일,37.56358171,127.0811202,19,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,02-466-5003,2024-11-04,B553077,소상공인시장진흥공단
한아름시장,상설장,서울특별시 광진구 능동로13길 39,서울특별시 광진구 화양동 10-1,매일,37.54396524,127.0697607,33,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
능동로골목시장,상설장,서울특별시 광진구 뚝섬로 30길 23,서울특별시 광진구 자양동 553-219,매일,37.53514624,127.0666637,74,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1973,,2024-11-04,B553077,소상공인시장진흥공단
노룬산시장(건물형),상설장,서울특별시 광진구 뚝섬로 491 노룬산시장,서울특별시 광진구 자양동 44-2,매일,37.5364854,127.0648775,44,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,,2024-11-04,B553077,소상공인시장진흥공단
조양시장(건물형),상설장,서울특별시 광진구 아차산로 30길 39,서울특별시 광진구 자양동 6-20,매일,37.53899664,127.0674931,21,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1970,02-463-5611,2024-11-04,B553077,소상공인시장진흥공단
신성종합시장(건물형),상설장,서울특별시 광진구 용마산로 50,서울특별시 광진구 중곡동 79-7,매일,37.55808075,127.0880508,19,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1977,,2024-11-04,B553077,소상공인시장진흥공단
고척근린시장,상설장,서울특별시 구로구 고척로 40길 19,서울특별시 구로구 고척동 269-1,매일,37.50195711,126.8511138,68,농산물+가공식품,,,Y,Y,1990,02-2060-7504,2024-11-04,B553077,소상공인시장진흥공단
구로시장,상설장,서울특별시 구로구 구로동로22길 17-4,서울특별시 구로구 구로동734-17 2층,매일,37.48963599,126.8856144,154,농산물+의류+수선집,,,Y,N,1962,02-868-1452,2024-11-04,B553077,소상공인시장진흥공단
남구로시장,상설장,서울특별시 구로구 구로동로26길 41,서울특별시 구로구 구로2동 730-52,매일,37.49020442,126.8864389,184,농산물+축산물+가공식품,,,Y,Y,1970,02-855-8509,2024-11-04,B553077,소상공인시장진흥공단
가리봉시장,상설장,서울특별시 구로구 우마3길 15,서울특별시 구로구 가리봉동 123-62,매일,37.48167439,126.8890749,65,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1970,,2024-11-04,B553077,소상공인시장진흥공단
고척골목시장상점가,상설장,서울특별시 구로구 중앙로8길 10 고척동,서울특별시 구로구 고척동 51-10,매일,37.50336999,126.862737,72,농산물+축산물,,,Y,N,1980,,2024-11-04,B553077,소상공인시장진흥공단
은행나무시장,상설장,서울특별시 금천구 금하로 25길 9 지하1층,서울특별시 금천구 시흥동 828-45,매일,37.4513186,126.9093496,52,농산물+축산물+수산물+가공식품,,,N,Y,1966,02-802-5514,2024-11-04,B553077,소상공인시장진흥공단
비단길현대시장,상설장,서울특별시 금천구 독산로 27길 52,서울특별시 금천구 시흥동 828-45,매일,37.45772651,126.9048774,185,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+노래방 안경원 부동산,,,Y,Y,2007,02-802-7720,2024-11-04,B553077,소상공인시장진흥공단
별빛남문시장,상설장,서울특별시 금천구 시흥대로 144길 17,서울특별시 금천구 독산동 984-10,매일,37.47374661,126.9004255,108,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,02-868-9727,2024-11-04,B553077,소상공인시장진흥공단
대명여울빛거리시장,상설장,서울특별시 금천구 시흥대로 212 시흥동,서울특별시 금천구 시흥동 889-13,매일,37.45277209,126.9016513,233,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1977,02-808-0811,2024-11-04,B553077,소상공인시장진흥공단
공릉동도깨비시장,상설장,서울특별시 노원구 동일로180길 37,서울특별시 노원구 공릉1동 566-20외 65필지,매일,37.62269001,127.0762455,109,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,Y,1977,02-976-4143,2024-11-04,B553077,소상공인시장진흥공단
상계중앙시장,상설장,서울특별시 노원구 상계로 27길 32,서울특별시 노원구 상계동 389번지 일원 49필지,매일,37.65996769,127.0698577,80,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1975,070-4141-1116,2024-11-04,B553077,소상공인시장진흥공단
창동신창시장,상설장,서울특별시 도봉구 덕릉로 57길 17,서울특별시 도봉구 창동 578-47,매일,37.639431,127.0374459,76,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1978,,2024-11-04,B553077,소상공인시장진흥공단
창동골목시장,상설장,서울특별시 도봉구 덕릉로58길 16,서울특별시 도봉구 창동 557-45 일대,매일,37.63840333,127.0391448,59,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://changdongmarket.modoo.at,Y,N,1970,02-900-4900,2024-11-04,B553077,소상공인시장진흥공단
방학동도깨비시장,상설장,서울특별시 도봉구 도당로 13가길 17 2층,서울특별시 도봉구 방학동 633-15,매일,37.6659383,127.0362011,88,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1982,02-954-1225,2024-11-04,B553077,소상공인시장진흥공단
신도봉시장,상설장,서울특별시 도봉구 도당로 27길 60,서울특별시 도봉구 도봉동 611,매일,37.67001813,127.0411223,160,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1974,,2024-11-04,B553077,소상공인시장진흥공단
쌍문시장,상설장,서울특별시 도봉구 도봉로113길 20,서울특별시 도봉구 쌍문동 94-29,매일,37.6483701,127.0329744,68,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,1983,,2024-11-04,B553077,소상공인시장진흥공단
백운시장,상설장,서울특별시 도봉구 삼양로154길 30,서울특별시 도봉구 쌍문동 495-80,매일,37.65549577,127.0148796,64,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,https://xn--3h3b05ilpdula.com,N,N,1970,,2024-11-04,B553077,소상공인시장진흥공단
청량리농수산물시장,상설장,서울특별시 동대문구 경동시장로 22,서울특별시 동대문구 제기동 629-2,매일,37.58091962,127.0408808,123,농산물+수산물,,,Y,Y,1970,,2024-11-04,B553077,소상공인시장진흥공단
청량리전통시장,상설장,서울특별시 동대문구 경동시장로2길 49-3,서울특별시 동대문구 청량리동 773,매일,37.58061217,127.043606,70,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,N,N,2003,02-3295-4555,2024-11-04,B553077,소상공인시장진흥공단
청량종합도매시장(깡통시장),상설장,서울특별시 동대문구 경동시장로30-7,서울특별시 동대문구 제기동 620-44,매일,37.58194677,127.0408474,45,가공식품,,,Y,Y,1993,02-962-5670,2024-11-04,B553077,소상공인시장진흥공단
답십리건축자재시장,상설장,서울특별시 동대문구 고미술로 49,서울특별시 동대문구 답십리동 483번지 일대,매일,37.56746274,127.053483,117,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점+도소매,,,N,N,,02-3394-8820,2024-11-04,B553077,소상공인시장진흥공단
청량리수산시장,상설장,서울특별시 동대문구 고산자로 34길 48의1,서울특별시 동대문구 용두동 20-1,매일,37.57807246,127.0409472,118,수산물+가공식품+음식점,,,Y,N,1979,02-967-4210,2024-11-04,B553077,소상공인시장진흥공단
경동광성상가,상설장,서울특별시 동대문구 고산자로 464,서울특별시 동대문구 제기동 917,매일,37.5809924,127.0388091,85,농산물+축산물+수산물+가공식품,,,Y,N,1960,02-965-1601,2024-11-04,B553077,소상공인시장진흥공단
경동시장,상설장,서울특별시 동대문구 고산자로36길 3,서울특별시 동대문구 제기동 1036,매일,37.57903713,127.0391477,678,농산물+축산물+수산물+가공식품+의류+가정용품+음식점,,,Y,Y,1960,02-969-7218,2024-11-04,B553077,소상공인시장진흥공단
답십리시장,상설장,서울특별시 동대문구 답신리로51길 4-1,서울특별시 동대문구 답십리2동 66-17,매일,37.57315455,127.0586943,79,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1970,02-2216-9888,2024-11-04,B553077,소상공인시장진흥공단
서울약령시장,상설장,서울특별시 동대문구 약령중앙로26,서울특별시 동대문구 제기동 1082,매일,37.58060537,127.0375862,976,농산물+가공식품,,,Y,Y,1960,02-969-4763,2024-11-04,B553077,소상공인시장진흥공단
동서시장,상설장,서울특별시 동대문구 왕산로33길 13,서울특별시 동대문구 제기동 650,매일,37.57972118,127.0412198,52,농산물,,,Y,Y,1972,,2024-11-04,B553077,소상공인시장진흥공단
청량리청과물시장,상설장,서울특별시 동대문구 왕산로33길 16,서울특별시 동대문구 제기동 635-35,매일,37.58026982,127.0424763,154,농산물+수산물+가공식품+음식점,,,Y,Y,1960,070-7722-1650,2024-11-04,B553077,소상공인시장진흥공단
이문제일시장,상설장,서울특별시 동대문구 이문로 200,서울특별시 동대문구 이문동 250-1,매일,37.60432691,127.0625465,25,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1972,,2024-11-04,B553077,소상공인시장진흥공단
전농로터리시장,상설장,서울특별시 동대문구 전농로 15길 7,서울특별시 동대문구 전농동 295-52,매일,37.57814435,127.0570279,99,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1974,02-217-1231,2024-11-04,B553077,소상공인시장진흥공단
답십리현대시장,상설장,서울특별시 동대문구 전농로 4길 38,서울특별시 동대문구 답십리동 967-5,매일,37.56677553,127.058644,78,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1970,070-7788-4435,2024-11-04,B553077,소상공인시장진흥공단
전곡시장,상설장,서울특별시 동대문구 한천로 190,서울특별시 동대문구 장안동 108-5,매일,37.57789747,127.0684698,15,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,N,1975,,2024-11-04,B553077,소상공인시장진흥공단
청량리종합시장,상설장,서울특별시 동대문구 홍릉로 1길 68-3,서울특별시 동대문구 제기동 647-11,매일,37.58015373,127.0410276,153,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1960,02-962-7100,2024-11-04,B553077,소상공인시장진흥공단
회기시장,상설장,서울특별시 동대문구 회기로25길 11,서울특별시 동대문구 회기동 57-220,매일,37.59096898,127.0549831,67,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1980,,2024-11-04,B553077,소상공인시장진흥공단
이경시장,상설장,서울특별시 동대문구 휘경로 53,서울특별시 동대문구 휘경동 151-3,매일,37.59459401,127.0665581,13,축산물+음식점,,,N,N,1974,,2024-11-04,B553077,소상공인시장진흥공단
성대전통시장,상설장,서울특별시 동작구 국사봉1길 41,서울특별시 동작구 상도동 324-68,매일,37.4992128,126.9308577,100,농산물+축산물+수산물,,,Y,Y,1979,02-822-4456,2024-11-04,B553077,소상공인시장진흥공단
남성사계시장,상설장,서울특별시 동작구 동작대로29길 8,서울특별시 동작구 사당동 88-3,매일,37.48816723,126.9815693,129,농산물+축산물+수산물,,,Y,Y,1960,02-536-3002,2024-11-04,B553077,소상공인시장진흥공단
남성역골목시장,상설장,서울특별시 동작구 사당로 16가길 19,서울특별시 동작구 사당동 267-4,매일,37.48297561,126.9723106,66,농산물+축산물,,,N,Y,1960,070-4015-8396,2024-11-04,B553077,소상공인시장진흥공단
상도전통시장,상설장,서울특별시 동작구 상도로 37길 62,서울특별시 동작구 상도동 467-2,매일,37.49874579,126.9521073,73,농산물+축산물,,,Y,Y,1970,02-824-3747,2024-11-04,B553077,소상공인시장진흥공단
성대시장,상설장,서울특별시 동작구상도로102,서울특별시 동작구 상도동 324-1,매일,37.499747,126.9319148,46,의류+가정용품,,,Y,Y,1979,,2024-11-04,B553077,소상공인시장진흥공단
마포시장,상설장,서울특별시 마포구 마포대로6길 16 만리재로 23 공덕동,서울특별시 마포구 공덕동 256-5 256-30,매일,37.54531004,126.9531865,100,농산물+수산물+가공식품+가정용품+음식점,,,Y,N,1977,02-719-5060,2024-11-04,B553077,소상공인시장진흥공단
공덕시장,상설장,서울특별시 마포구 만리재로 19 공덕동,서울특별시 마포구 공덕동 256-10,매일,37.54478749,126.9532661,35,가공식품+신발+음식점,,,Y,N,1974,02-719-5060,2024-11-04,B553077,소상공인시장진흥공단
망원동월드컵시장,상설장,서울특별시 마포구 망원로7길 3 31 망원동,서울특별시 마포구 망원동 424-7,매일,37.55873307,126.9050773,50,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,N,2006,02-322-6656,2024-11-04,B553077,소상공인시장진흥공단
망원시장,상설장,서울특별시 마포구 망원로8길 3 70 망원동,서울특별시 마포구 망원동 486-37,매일,37.55715706,126.9059961,80,농산물+축산물+수산물+가공식품+가정용품+음식점,,https://mangwonsijang.modoo.at,Y,Y,2006,02-335-3591,2024-11-04,B553077,소상공인시장진흥공단
아현시장,상설장,서울특별시 마포구 아현동 굴레방로 7길 8,서울특별시 마포구 아현동 327-40,매일,37.55640207,126.9550809,148,농산물+축산물+수산물+가공식품+가정용품+음식점,,,Y,N,2013,02-364-3600,2024-11-04,B553077,소상공인시장진흥공단
마포농수산물시장,상설장,서울특별시 마포구 월드컵로 235 성산동,서울특별시 마포구 성산동 533-1,매일,37.56519673,126.8984816,142,농산물+축산물+수산물+가공식품,,,Y,Y,1998,02-309-6456,2024-11-04,B553077,소상공인시장진흥공단
백련시장,상설장,서울특별시 서대문구 가재울로6길 53-87 남가좌동 백련시장아파트,서울특별시 서대문구 남가좌동 345-4,매일,37.57700937,126.9231105,68,농산물+축산물+수산물+가공식품+신발+가정용품+음식점,,https://100market.modoo.at,Y,Y,1993,,2024-11-04,B553077,소상공인시장진흥공단
연희사러가,상설장,서울특별시 서대문구 연희맛로 23 연희동,서울특별시 서대문구 연희동 131의 1,매일,37.56714756,126.9296631,31,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,,,Y,Y,1971,,2024-11-04,B553077,소상공인시장진흥공단
